,Title,Type,Price,Image
0,5 Bedroom Apartment,"
5
5
2
","
From

$389 $285                  
","https://www.dwellstudent.com.au/wp-content/uploads/2020/03/DVMC-5-Bedroom-Thumb-768x432.jpg);"">"
1,5 Bedroom Apartment Deluxe,"
5
5
2
","
From

                    $345                  
","https://www.dwellstudent.com.au/wp-content/uploads/2019/10/5-bed-living-room-600x353-deluxe.jpg);"">"
2,4 Bedroom Apartment Deluxe,"
4
4
2
","
From

$372 $320                  
","https://www.dwellstudent.com.au/wp-content/uploads/2019/10/4br-apartment-s-view-h-768x512.jpg);"">"
3,3 Bedroom Apartment,"
3
3
1
","
From

$340 $299                  
","https://www.dwellstudent.com.au/wp-content/uploads/2020/04/3-bedroom-thumb.jpg);"">"
4,3 Bedroom Apartment Large,"
3
3
1
","
From

                    $387*                  
","https://www.dwellstudent.com.au/wp-content/uploads/2020/03/DVMC-3-Bedroom-Large-Thumb-768x432.jpg);"">"
5,2 Bedroom Studio,"
2
2
1
","
From

                    $298                  
","https://www.dwellstudent.com.au/wp-content/uploads/2019/12/H033rmit-768x512.jpg);"">"
6,2 Bedroom Studio with Balcony,"
2
2
1
","
From

$310 $229                  
","https://www.dwellstudent.com.au/wp-content/uploads/2019/12/H010rmit-768x512.jpg);"">"
7,2 Bedroom Apartment,"
2
2
1
","
From

$349 $319                  
","https://www.dwellstudent.com.au/wp-content/uploads/2020/03/DVMC-2-Bedroom-Thumb-768x432.jpg);"">"
8,2 Bedroom Apartment Large,"
2
2
1
","
From

                    $438                  
","https://www.dwellstudent.com.au/wp-content/uploads/2021/01/2021-dwellVMC_2BR-Large_IMG_0007-edited.jpg);"">"
9,1 Bedroom Suite,"
1-2
1
1
","
From

$429 $369                  
","https://www.dwellstudent.com.au/wp-content/uploads/2020/03/1-br-suite-thumb-768x432.jpg);"">"
10,1 Bedroom Studio Deluxe,"
1
1
1
","
From

$429 $369                  
","https://www.dwellstudent.com.au/wp-content/uploads/2020/03/1-br-deluxe-studio-768x494.jpg);"">"
11,1 Bedroom Studio Premium,"
1
1
1
","
From

$449 $379                  
","https://www.dwellstudent.com.au/wp-content/uploads/2019/10/1br-studio-h-768x512.jpg);"">"
12,1 Bedroom Studio Premium Plus,"
1
1
1
","
From

                    $479                  
","https://www.dwellstudent.com.au/wp-content/uploads/2019/11/1-Bedroom-Studio-Premium-Plus-1-600x400.jpg);"">"
13,1 Bedroom Apartment,"
1
1
1
","
From

                    $529                  
","https://www.dwellstudent.com.au/wp-content/uploads/2019/10/1-Br-Apartment-livingroom-h-768x512.jpg);"">"
