description,image,image_link,title,name_link,address,latitude,longitude,date_time
"First opened in 1892, this ornate arcade features mosaic floors, carved stone finishings and a soaring glass canopy. It is famously modelled on the shopping arcades of London, Paris and Milan. There are over 30 retailers including jewellery stores, fashion outlets, giftware and eateries.",https://www.travelvictoria.com.au/images/town/shopping/blockarcade.jpg,https://www.theblock.com.au/,Block Arcade,https://www.theblock.com.au/,"282 Collins St, Melbourne VIC 3000, Australia",-37.8157783,144.9649652,2022-04-16 23:18:25.470925
"Located at the ""Paris end"" of Collins Street, the centre features a range of fashion outlets, a food court and the premier Kino Cinema",https://www.travelvictoria.com.au/images/town/shopping/collinsplace.jpg,https://www.collinsplace.com.au/,Collins Place,https://www.collinsplace.com.au/,"45 Collins St, Melbourne VIC 3000, Australia",-37.8142466,144.972547,2022-04-16 23:18:25.470925
"Leafy Collins Street extends almost 2 kilometres from east to west through Melbourne's CBD. It is lined with fantastic examples of Victorian era architecture and is home to luxury designer fashion retailers, exclusive jewellers, charming cafes, upmarket hotels and several churches.",https://www.travelvictoria.com.au/images/town/shopping/collinsstreet.jpg,https://www.collinsstreet.com.au/,Collins Street,https://www.collinsstreet.com.au/,"Collins Street, Melbourne",-37.813658,144.9729712,2022-04-16 23:18:25.470925
"Directly connected to Melbourne Central, Myer and David Jones, this exclusive shopping centre includes retail outlets for local and international designers, concept stores and a food court specialising in delicious and healthy food.",https://www.travelvictoria.com.au/images/town/shopping/emporiummelbourne.jpg,https://www.emporiummelbourne.com.au/,Emporium Melbourne,https://www.emporiummelbourne.com.au/,"287 Lonsdale St, Melbourne VIC 3000, Australia",-37.8121269,144.9641072,2022-04-16 23:18:25.470925
"This is the city centre's major retail hub. It features over 300 stores spread across 5 levels, restaurants, cafes and an 11-screen cinema. The buildings themselves are a combination of old and new, encompassing an old shot tower and other striking architectural features which have been faithfully restored and tastefully incorporated into the modern centre. Directly below the shopping centre is Melbourne Central train station which is part of the underground City Loop, providing direct access to Melbourne's suburban train network.",https://www.travelvictoria.com.au/images/town/shopping/melbournecentral.jpg,https://www.melbournecentral.com.au/,Melbourne Central,https://www.melbournecentral.com.au/,"Swanston St, Melbourne VIC 3000, Australia",-37.8090866,144.9635351,2022-04-16 23:18:25.470925
"Melbourne's general post office building began construction in 1864 and this grand neo-Renaissance style structure in the heart of the city has been a Melbourne icon ever since. Postal services stopped using the building in 2001 and these days it is occupied by Swedish retail giant H&M as well as several cafes, restaurants and other retailers.",https://www.travelvictoria.com.au/images/town/shopping/melbournesgpo.jpg,https://www.melbournesgpo.com/,Melbourne's GPO,https://www.melbournesgpo.com/,"350 Bourke St, Melbourne VIC 3000, Australia",-37.814762,144.9614924,2022-04-16 23:18:25.470925
"Established in 1878, this open-air market has a vibrant and cosmopolitan atmosphere, with almost half the space dedicated to the sale of fresh produce. It has over 1,000 stalls selling every possible item, from meat, fruit and vegetables, to clothing, shoes, bags, toys, jewellery and souvenirs. During various times of the year there are themed night markets with live music, roving entertainers and a global feast of street food vendors. Official guided tours of the market are held regularly, allowing participants to experience the market at its liveliest.",https://www.travelvictoria.com.au/images/town/shopping/queenvictoriamarket.jpg,https://www.qvm.com.au/,Queen Victoria Market,https://www.qvm.com.au/,"Queen St, Melbourne VIC 3000, Australia",-37.8109965,144.958967,2022-04-16 23:18:25.470925
"Occupying the former site of the Queen Victoria Hospital, this urban village features a retail precinct with intimate laneways and a central square surrounded with shops, restaurants and entertainment",https://www.travelvictoria.com.au/images/town/shopping/qv.jpg,https://www.qv.com.au/,QV Melbourne,https://www.qv.com.au/,"Cnr Lonsdale Street and, Swanston St, Melbourne VIC 3000, Australia",-37.81067565,144.965706939704,2022-04-16 23:18:25.470925
"Built in 1869, Royal Arcade is a Melbourne icon and the city's oldest shopping arcade. Located on Bourke Street, this is an elegant arcade with old world features which make you feel as though you've travelled back in time. Royal Arcade houses some of the most beautiful shops in Melbourne making for a very special shopping experience.",https://www.travelvictoria.com.au/images/town/shopping/royalarcade.jpg,https://www.royalarcade.com.au/,Royal Arcade,https://www.royalarcade.com.au/,"335 Bourke St, Melbourne VIC 3000, Australia",-37.8147288,144.9642108,2022-04-16 23:18:25.470925
"Located in Collins Street, this shopping complex is Melbourne's latest destination for sophisticated fashion and food. There are over 30 outlets for renowned local and international clothing labels. On level two is a food hall with a selection of fast casual dining options with city views.",https://www.travelvictoria.com.au/images/town/shopping/stcollinslane.jpg,https://www.stcollinslane.com/,St Collins Lane,https://www.stcollinslane.com/,"260 Collins Street Melbourne, VIC 3000",-37.815340000000006,144.96498062526388,2022-04-16 23:18:25.470925
