,Price1,Price2,Price3,Price4,Address
0,"$4,300+ Studio","$3,500+ 1 b","$4,595+ 2 b","$5,100+ 3 b","<a class=""list-card-link list-card-link-top-margin"" href=""/b/the-brennity-at-melbourne-melbourne-fl-5Yy4Zx/"" tabindex=""0""><address class=""list-card-addr"">The Brennity at Melbourne | 7300 Watersong Ln, Melbourne, FL</address></a>"
1,"$1,575+ 1 b","$2,040+ 2 b",,,"<a class=""list-card-link list-card-link-top-margin"" href=""/b/marisol-at-viera-melbourne-fl-65g3rv/"" tabindex=""0""><address class=""list-card-addr"">Marisol at Viera | 2439 Casona Ln, Melbourne, FL</address></a>"
2,"$1,567+ 1 b","$1,852+ 2 b",,,"<a class=""list-card-link list-card-link-top-margin"" href=""/b/the-preserve-at-longleaf-melbourne-fl-5XrSwx/"" tabindex=""0""><address class=""list-card-addr"">The Preserve at Longleaf | 4465 Preserve Dr, Melbourne, FL</address></a>"
3,"$1,215+ 1 b","$1,450+ 2 b","$1,450+ 3 b",,"<a class=""list-card-link list-card-link-top-margin"" href=""/b/topaz-village-apartments-melbourne-fl-5Xhwzr/"" tabindex=""0""><address class=""list-card-addr"">Topaz Village Apartments | 150 E University Blvd, Melbourne, FL</address></a>"
4,"$1,935+ 1 b","$2,488+ 2 b","$3,403+ 3 b",,"<a class=""list-card-link list-card-link-top-margin"" href=""/b/centre-pointe-apartments-melbourne-fl-BLYgLP/"" tabindex=""0""><address class=""list-card-addr"">Centre Pointe Apartments | 6705 Shadow Creek Trl, Melbourne, FL</address></a>"
5,"$1,325+ 1 b","$1,630+ 2 b",,,"<a class=""list-card-link list-card-link-top-margin"" href=""/b/caribbean-isle-melbourne-fl-5Xhwyc/"" tabindex=""0""><address class=""list-card-addr"">Caribbean Isle | 2848 Caribbean Isle Blvd, Melbourne, FL</address></a>"
6,"$1,615+ 1 b","$1,840+ 2 b","$2,245+ 3 b",,"<a class=""list-card-link list-card-link-top-margin"" href=""/b/lakes-at-suntree-melbourne-fl-5Xhx65/"" tabindex=""0""><address class=""list-card-addr"">Lakes at Suntree | 201 Plantation Club Dr, Melbourne, FL</address></a>"
7,"$1,385+ 1 b","$1,810+ 2 b",,,"<a class=""list-card-link list-card-link-top-margin"" href=""/b/compass-melbourne-fl-5Xhx26/"" tabindex=""0""><address class=""list-card-addr"">Compass | 3595 Misty Oak Dr, Melbourne, FL</address></a>"
8,"$1,769+ 1 b","$2,149+ 2 b","$2,299+ 3 b",,"<a class=""list-card-link list-card-link-top-margin"" href=""/b/via-tuscany-apartments-melbourne-fl-5Xhx86/"" tabindex=""0""><address class=""list-card-addr"">Via Tuscany Apartments | 300 Tuscany Way, Melbourne, FL</address></a>"
9,,,,,
